sku;voltage;10hr;length_mm;length_in;width_mm;width_in;height_mm;height_in;theight_mm;theight_in;Terminal;weight_kg;weight_pund;pdf
CP445;4;4.5;48;1.89;48;1.89;102;4.02;108;4.25;F1/F2;0.61;1.34;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP445.pdf
CP612;6;1.2;97;3.82;24;0.94;52;2.05;58;2.28;F1;0.31;0.68;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP612.pdf
CP628;6;2.8;66;2.60;33;1.30;97;3.82;104;4.09;F1;0.58;1.28;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP628.pdf
CP632;6;3.2;134;5.28;34;1.34;61;2.4;67;2.64;F1;0.65;1.43;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP632.pdf
CP645;6;4.5;70;2.76;47;1.85;101;3.98;107;4.21;F1/F2;0.77;1.70;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP645.pdf
CP646;6;4.6;62;2.44;58;2.28;98;3.85;98;3.85;T27;0.80;1.76;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP646.pdf
CP656;6;5.6;70;2.76;47;1.85;101;3.98;107;4.21;F1/F2;0.96;2.12;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP656.pdf
CP670;6;7;151;5.94;34;1.34;94;3.7;100;3.94;F1/F2;1.2;2.61;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP670.pdf
CP677;6;7.7;151;5.94;34;1.34;94;3.70;97;3.82;F1;1.34;2.95;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP677.pdf
CP6100;6;10;151;5.94;50;1.97;94;3.70;100;3.94;F1/F2;1.67;3.68;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP6100.pdf
CP6120;6;12;151;5.94;50;1.97;94;3.70;100;3.94;F1/F2;1.85;4.08;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP6120.pdf
CP6140T;6;14;108;4.25;71;2.80;140;5.51;140;5.51;;2.37;5.22;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP6140T.pdf
CP1208;12;0.8;96;3.78;25;0.98;62;2.44;62;2.44;T9/T13/T14/T15/T47;0.34;0.75;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP1208.pdf
CP1212;12;1.2;97;3.82;43;1.69;52;2.05;58;2.28;F1;0.53;1.17;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP1212.pdf
CP1223;12;2.3;178;7.01;35;1.38;61;2.40;67;2.64;F1;0.99;2.18;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP1223.pdf
CP1226;12;2.6;178;7.01;35;1.38;61;2.40;67;2.64;F1;0.99;2.18;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP1226.pdf
CP1229;12;2.9;79;3.11;55.5;2.19;98.5;3.88;104;4.09;F1;1.05;2.31;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CP1229.pdf
