sku;voltage;20hr;length_mm;length_in;width_mm;width_in;height_mm;height_in;theight_mm;theight_in;Terminal;weight_kg;weight_pund;pdf
CT12-50X;12;50;277;10.91;106;4.17;222;8.74;229;9.02;F11;17.3;38.14;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CT12-50X.pdf
CT12-80X;12;80;564;22.20;115;4.53;189;7.44;189;7.44;F19/F11;28.2;62.17;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CT12-80X.pdf
CT12-100X;12;100;508;20.0;110;4.33;223;8.78;238;9.37;m6;32.5;71.6;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CT12-100X.pdf
CT12-100SX;12;100;508;20.00;110;4.33;231;9.09;231;9.09;F18;32.5;71.65;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CT12-100SX.pdf
CT12-105X;12;105;395;15.55;110;4.33;286;11.26;293;11.54;F12;35.0;77.16;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CT12-105X.pdf
CT12-125X;12;125;436;17.17;108;4.25;317;12.48;317;12.48;F15;40.0;88.18;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CT12-125X.pdf
CT12-150X;12;150;548;21.57;105;4.13;316;12.44;316;12.44;F15;48.8;107.59;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CT12-150X.pdf
CT12-155X;12;155;551;21.69;110;4.33;316;12.44;316;12.44;F15;51.5;113.54;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CT12-155X.pdf
CT12-180X;12;180;546;21.50;125;4.92;317;12.48;323;12.72;F15;58.5;128.97;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CT12-180X.pdf
CT12-200X;12;200;522;20.55;238;9.37;218;8.58;223;8.78;F12;65;143;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CT12-200X.pdf
