sku;voltage;10hr;length_mm;length_in;width_mm;width_in;height_mm;height_in;theight_mm;theight_in;Terminal;weight_kg;weight_pund;pdf
CG2-200;2;200;173;6.81;111;4.37;330;12.99;364;14.33;F10;15.2;33.5;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG2-200.pdf
CG2-300;2;300;171;6.73;151;5.94;330;12.99;364;14.33;F10;20.0;44.1;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG2-300.pdf
CG2-400;2;400;210;8.27;176;6.93;330;12.99;367;14.45;F10;27.0;59.5;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG2-400.pdf
CG2-500;2;500;242;9.53;173;6.81;330;12.99;365;14.37;F10;31.0;68.3;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG2-500.pdf
CG2-600;2;600;302;11.89;175;6.89;330;12.99;367;14.45;F10;40.0;88.2;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG2-600.pdf
CG2-800;2;800;410;16.14;175;6.89;330;12.99;367;14.45;F10;53.5;117.9;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG2-800.pdf
CG2-1000;2;1000;475;18.70;175;6.89;330;12.99;367;14.45;F10;63.5;140.0;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG2-1000.pdf
CG2-1500;2;1500;400;15.75;350;13.78;345;13.58;382;15.04;F10;105;231.5;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG2-1500.pdf
CG2-2000;2;2000;490;19.29;350;13.78;345;13.58;382;15.04;F10;120;264.6;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG2-2000.pdf
CG2-3000;2;3000;710;27.95;350;13.78;345;13.58;382;15.04;F10;190;418.9;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG2-3000.pdf
CG12-32X;12;32;197.5;7.78;165.5;6.52;170;6.69;170;6.69;F11;12.8;28.2;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG12-32X.pdf
CG12-42X;12;42;229;9.02;138;5.43;208;8.19;213;8.39;F11;16.8;37.0;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG12-42X.pdf
CG12-55X;12;55;350;13.78;167;6.57;179;7.05;179;7.05;F11;21;46.3;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG12-55X.pdf
CG12-72TX;12;72;306;12.05;169;6.65;210;8.27;215;8.46;F21;27;59.5;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG12-72TX.pdf
CG12-80X;12;80;330;12.99;171;6.73;215;8.46;220;8.66;F11;29.5;65.0;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG12-80X.pdf
CG12-90X;12;90;410;16.14;176;6.93;227;8.94;227;8.94;F12;34;75.0;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG12-90X.pdf
CG12-120X;12;120;482;18.98;170;6.69;240;9.45;240;9.45;F12;44.5;98.1;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG12-120X.pdf
CG12-150X;12;150;530;20.87;209;8.23;215;8.46;220;8.66;F12;54.5;120.2;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG12-150X.pdf
CG12-160X;12;160;522;20.55;238;9.37;218;8.58;223;8.78;F12;58.6;129.2;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG12-160X.pdf
CG12-200X;12;200;520;20.47;269;10.59;203;7.99;208;8.19;F12;70;154.3;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG12-200X.pdf
CG12-200PEX;12;200;520;20.47;269;10.59;203;7.99;108;8.19;F12;70;154.4;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CG12-200PEX.pdf
CGT12-100X;12;100;436;17.17;108;4.25;317;12.48;317;12.48;F15;39.4;86.9;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CGT12-100X.pdf
CGT12-120X;12;120;552;21.73;110;4.33;288;11.34;295;11.61;F12;44.5;98.1;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CGT12-120X.pdf
CGT12-125X;12;125;548;21.57;105;4.13;316;12.44;316;12.44;F15;46.0;101.4;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CGT12-125X.pdf
CGT12-160X;12;160;546;21.50;125;4.92;317;12.48;323;12.72;F15;53.5;117.9;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CGT12-160X.pdf
