sku;voltage;10min;20hr;15min;length_mm;length_in;width_mm;width_in;height_mm;height_in;theight_mm;theight_in;Terminal;weight_kg;weight_pund;pdf
HP12-30W;12;30;5;;90;3.54;70;2.76;101;3.98;107;4.21;F1;1.80;3.97;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HP12-30W.pdf
HP12-50W;12;50;9;;151;5.94;65;2.56;94;3.70;100;3.94;F2;2.80;6.17;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HP12-50W.pdf
HP12-105W-X;12;105;17;;181;7.13;77;3.03;167;6.57;167;6.57;F13;5.90;13.01;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HP12-105W-X.pdf
HP12-116W-X;12;116;20;;181;7.13;77;3.03;167;6.57;167;6.57;F13;6.20;13.70;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HP12-116W-X.pdf
HF12-155W-X;12;155;28;;165;6.50;125;4.92;175;6.89;175;6.89;F13;9.60;21.20;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-155W-X.pdf
HF12-165W-X;12;165;33;;195;7.68;130;5.12;155;6.10;168;6.61;F11;11.1;24.50;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-165W-X.pdf
HF12-211W-X;12;211;45;;197.5;7.78;165.5;6.52;170;6.69;170;6.69;F11;14.8;32.60;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-211W-X.pdf
HF12-260W-X;12;260;55;;229;9.02;138;5.43;208;8.19;213;8.39;F11;17.2;37.90;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-260W-X.pdf
HF12-320W-X;12;320;75;;258;10.20;166;6.54;206;8.11;215;8.46;F11;23.0;52.70;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-320W-X.pdf
HF12-370W-X;12;370;80;;350;13.80;167;6.57;179;7.05;179;7.05;F11;26.2;57.80;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-370W-X.pdf
HF12-420W-X;12;420;90;;306;12.00;169;6.65;210;8.27;215;8.46;F12/F21;28.0;61.70;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-420W-X.pdf
HF12-470W-X;12;470;100;;330;13.00;171;6.73;215;8.46;220;8.66;F12;33.0;72.80;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-470W-X.pdf
HF12-560W-X;12;560;120;;410;16.10;176;6.93;224;8.82;224;8.82;F12;37.7;83.10;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-560W-X.pdf
HF12-600W-X;12;600;134;;341;13.40;173;6.81;283;11.10;287;11.30;F15;41.5;91.50;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-600W-X.pdf
HF12-650W-X;12;650;150;;482;19.00;170;6.69;240;9.45;240;9.45;F12;46.4;102.00;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-650W-X.pdf
HF12-890WS-X;12;890;200;;522;20.60;238;9.37;218;8.58;223;8.78;F10;67.5;149.00;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-890WS-X.pdf
HF12-1010W-X;12;1010;210;;522;20.60;238;9.37;218;8.58;223;8.78;F10/F38;67.0;148.00;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HF12-1010W-X.pdf
HFS12-400W-X;12;;;400;330;13.00;171;6.73;215;8.46;220;8.66;F12;32.5;71.60;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HFS12-400W-X.pdf
HFS12-450W-X;12;;;450;410;16.10;176;6.93;224;8.82;224;8.82;F12;36.5;80.50;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HFS12-450W-X.pdf
HFS12-550W-X;12;;;550;482;19.00;170;6.69;240;9.45;240;9.45;F10;45.0;98.00;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HFS12-550W-X.pdf
HFS12-800WS-X;12;;;800;522;20.55;238;9.37;218;8.58;223;8.78;F38;67.5;134.48;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/HFS12-800WS-X.pdf
